A-site cation,B-site cation,X-site anion,A1,A2,A3,B1,B2,X1,X2,X3,Bg,VBM,CBM
FAMACs,PbSn,BrClI,0,0,1,1,0,0.75,0,2.25,1.87,-5.46,-3.59
FAMACs,PbSn,BrClI,0.747,0.153,0.1,1,0,0.51,0,2.49,1.6,-5.8,-4.2
FAMACs,PbSn,BrClI,0.79,0.16,0.05,1,0,0.51,0,2.49,1.63,-5.54,-3.91
FAMACs,PbSn,BrClI,0.8265,0.1235,0.05,1,0,0.39,0,2.61,1.6,-5.7,-4.1
FAMACs,PbSn,BrClI,0.83,0.17,0,1.1,0,0.501,0,2.799,1.5,-5.4,-3.9
FAMACs,PbSn,BrClI,0.81,0.14,0.05,1,0,0.45,0,2.55,1.6,-5.8,-4.2
FAMACs,PbSn,BrClI,0.79,0.16,0.05,1,0,0.51,0,2.49,1.6,-5.5,-3.9
FAMACs,PbSn,BrClI,0,1,0,1,0,0,0.15,2.85,1.5,-5.38,-3.88
FAMACs,PbSn,BrClI,0,1,0,1,0,0,0.15,2.85,1.63,-5.43,-3.8
FAMACs,PbSn,BrClI,0.83,0.17,0,1,0,0.36,0,2.64,1.58,-5.62,-4.04
FAMACs,PbSn,BrClI,0.75,0.15,0.1,1,0,0.36,0,2.64,1.59,-5.65,-4.06
FAMACs,PbSn,BrClI,0.5,0.5,0,1,0,1.5,0,1.5,1.5,-5.43,-3.93
FAMACs,PbSn,BrClI,0,1,0,0.5,0.5,0,0,3,1.22,-5.04,-3.82
FAMACs,PbSn,BrClI,0,1,0,0.5,0.5,0,0,3,1.3,-4.92,-3.62
FAMACs,PbSn,BrClI,0,1,0,0.25,0.75,0,0,3,1.27,-4.76,-3.49
FAMACs,PbSn,BrClI,0.74,0.13,0.1,1,0,0.39,0,2.49,1.6,-5.7,-4.1
FAMACs,PbSn,BrClI,0.9,0,0.1,1,0,0,0,3,1.55,-5.38,-3.83
FAMACs,PbSn,BrClI,0.747,0.153,0.1,1,0,0.51,0,2.49,1.57,-5.43,-3.86
FAMACs,PbSn,BrClI,0.3,0.7,0,1,0,0,0,3,1.57,-5.4,-3.83
FAMACs,PbSn,BrClI,0.7885,0.1615,0.05,1,0,0.51,0,2.49,1.7,-5.4,-3.7
FAMACs,PbSn,BrClI,0.8265,0.1235,0.05,1,0,0.39,0,2.61,1.63,-5.85,-4.22
FAMACs,PbSn,BrClI,0.95,0,0.05,1,0,0,0,3,1.51,-5.46,-3.95
FAMACs,PbSn,BrClI,0.4,0.6,0,1,0,0,0,3,1.6,-5.2,-3.6
FAMACs,PbSn,BrClI,0.2,0.8,0,1,0,0.12,0,2.88,1.6,-5.53,-3.93
FAMACs,PbSn,BrClI,0.875,0.075,0.05,1,0,0.225,0,2.775,1.5,-5.4,-3.9
FAMACs,PbSn,BrClI,0.779,0.133,0.05,1,0,0.45,0,2.55,1.6,-5.5,-3.9
FAMACs,PbSn,BrClI,0.8075,0.1425,0.05,1,0,0.45,0,2.55,1.6,-5.75,-4.15
FAMACs,PbSn,BrClI,0.6,0.4,0,0.4,0.6,0,0,3,1.22,-5.22,-4
FAMACs,PbSn,BrClI,0.3,0.7,0,1,0,0,0,3,1.5,-5.4,-3.9
FAMACs,PbSn,BrClI,0.8,0.15,0.05,1,0,0.249,0,2.751,1.57,-5.56,-3.99
FAMACs,PbSn,BrClI,0.5,0.5,0,0.5,0.5,0,0,3,1.2,-5.2,-4
FAMACs,PbSn,BrClI,0.7885,0.1615,0.05,1,0,0.3,0,2.7,1.7,-5.4,-3.7
FAMACs,PbSn,BrClI,0.8075,0.1425,0.05,1,0,0.45,0,2.55,1.7,-5.5,-3.8
FAMACs,PbSn,BrClI,0.075,0.05,0.875,1,0,0.225,0,2.775,1.6,-5.45,-3.85
FAMACs,PbSn,BrClI,0.6,0.4,0,0.4,0.6,0.3,0,2.7,1.4,-5.34,-3.94
FAMACs,PbSn,BrClI,0.95,0.05,0,1,0,0.15,0,2.85,1.5,-5.5,-4
FAMACs,PbSn,BrClI,0.2,0.8,0,1,0,0.099,0,2.901,1.59,-5.6,-4.01
FAMACs,PbSn,BrClI,0,1,0,0,1,0,0,3,1.3,-5,-3.7
FAMACs,PbSn,BrClI,0,1,0,1,0,3,0,0,2.31,-6,-3.69
FAMACs,PbSn,BrClI,0.8,0,0.2,1,0,1.2,0,1.8,1.8,-5.7,-3.9
FAMACs,PbSn,BrClI,0.8,0.02,0.18,1,0,1.2,0,1.8,1.77,-5.58,-3.81
FAMACs,PbSn,BrClI,0,1,0,1,0,3,0,0,2.31,-5.73,-3.42
FAMACs,PbSn,BrClI,0,1,0,1,0,2.01,0.99,0,2.53,-5.74,-3.21
FAMACs,PbSn,BrClI,0,1,0,1,0,1.5,1.5,0,2.64,-5.79,-3.15
FAMACs,PbSn,BrClI,0,0,1,0.55,0.45,0.99,0,2.01,1.5,-5.57,-4.07
FAMACs,PbSn,BrClI,0,0,1,1,0,0.99,0,2.01,1.91,-5.79,-3.88
FAMACs,PbSn,BrClI,0,0,1,0.75,0.25,0,0,3,1.43,-5.34,-3.91
FAMACs,PbSn,BrClI,0,0,1,0.5,0.5,0,0,3,1.34,-4.97,-3.63
FAMACs,PbSn,BrClI,0,0,1,0.25,0.75,0,0,3,1.28,-4.91,-3.63
FAMACs,PbSn,BrClI,1,0,0,0,1,0,0,3,1.41,-5.96,-4.55
FAMACs,PbSn,BrClI,0,0,1,1,0,0.99,0,2.01,1.92,-6.08,-4.16
FAMACs,PbSn,BrClI,0,0,1,0.7,0.3,0,0,3,1.34,-5.44,-4.1
FAMACs,PbSn,BrClI,0.8,0,0.2,1,0,0.9,0,2.1,1.73,-5.55,-3.82
FAMACs,PbSn,BrClI,0.8,0.15,0.05,1,0,0.249,0,2.751,1.57,-5.56,-3.99
FAMACs,PbSn,BrClI,0.8,0,0.2,1,0,1.2,0,1.8,1.8,-5.7,-3.9
FAMACs,PbSn,BrClI,0.8,0.02,0.18,1,0,1.2,0,1.8,1.77,-5.58,-3.81
FAMACs,PbSn,BrClI,0.8,0,0.2,1,0,0.9,0,2.1,1.73,-5.55,-3.82
